cell	cell_x	cell_y	cell_n_transcripts	cell_density	cell_elongation	cell_area	cell_avg_confidence	cell_Celltype	Area_Cluster
1041	1367.95833333333	3799.04166666667	48	0.01763	2.87	2722	1	Smooth Muscle	1
1042	2807.83582089552	2326.4776119403	67	0.01546	1.584	4333	0.9625	T (CD4+)	3
1043	1303.20967741935	3860.56451612903	62	0.02006	2.563	3090	0.9981	Smooth Muscle	1
1044	3559.91860465116	1571.76744186047	258	0.02251	2.426	11460	0.9985	Stem + TA	2
1045	3926.28571428571	1227	14	0.03043	15.01	460	1	Macrophage + DC	3
1046	2898.8253968254	2260.31746031746	63	0.02166	4.547	2908	0.9994	Macrophage + DC	3
1047	3383.34269662921	1824.76404494382	178	0.01902	2.311	9361	0.9973	Stem + TA	2
1048	1859.03092783505	3398.12371134021	97	0.014	2.471	6928	0.957	Smooth Muscle	1
1049	3219.60563380282	1928.92957746479	71	0.02128	1.593	3336	1	Stem + TA	2
1050	3925.04651162791	1277.5503875969	129	0.01549	1.213	8330	0.9849	Stromal	3
1051	4457.44859813084	771.710280373832	214	0.02814	2.278	7604	0.9998	Goblet	4
1052	1860.79611650485	3301.1067961165	103	0.01032	1.394	9980	0.9231	Smooth Muscle	1
1053	1537.43835616438	3676.42465753425	73	0.01592	2.463	4584	0.9896	Endothelial	1
1054	4857.69696969697	348.909090909091	33	0.007262	2.375	4544	0.954	Enterocyte (Mid Villus)	4
1055	1422.24723247232	3694.37269372694	271	0.02591	1.484	10460	0.9924	Smooth Muscle	1
1056	4375.15294117647	778.505882352941	85	0.01556	3.342	5462	0.9988	Enterocyte (Mid Villus)	4
1057	2081.38461538462	3056	39	0.006894	1.946	5657	0.7975	Stromal	3
1058	3328.76363636364	1829.58181818182	55	0.01683	1.509	3268	1	Goblet	2
1059	4200	989.818181818182	121	0.02124	1.174	5697	0.9927	Enterocyte (Mid Villus)	3
106	2854	333.321428571429	28	0.01259	2.683	2224	0.7752	Telocyte	3
1060	3208.92857142857	1938.34285714286	140	0.01872	1.932	7478	1	Stem + TA	2
1061	2377.6	2771.96	25	0.01708	2.32	1464	0.9377	Telocyte	3
1062	3099.59471365639	2094.47577092511	227	0.03014	2.126	7532	1	Stem + TA	2
1063	3256.92857142857	1916.45238095238	42	0.03088	4.495	1360	1	Goblet	2
1064	1436.74324324324	3774.78378378378	74	0.01852	2.336	3996	0.9878	Smooth Muscle	1
1065	4654.94512195122	462.518292682927	164	0.02858	2.778	5738	0.9923	Enterocyte (Mid Villus)	4
1066	1363.21212121212	3911.75757575758	33	0.0111	2.069	2972	0.9708	Smooth Muscle	1
1067	3267.75789473684	1829.62105263158	95	0.01685	1.903	5639	1	Stem + TA	2
1068	3223.46783625731	2005.05263157895	171	0.0232	1.452	7370	1	B (Plasma)	2
1069	1799.98947368421	3377.11578947368	95	0.01311	3.836	7246	0.9669	Smooth Muscle	1
107	1881.66666666667	1304.82905982906	234	0.02183	1.318	10720	0.9614	Smooth Muscle	1
1070	4596.00840336134	621.605042016807	119	0.01921	2.066	6195	1	Enterocyte (Mid Villus)	4
1071	1933.81578947368	3268.97368421053	38	0.01748	26.8	2174	0.945	Stromal	1
1072	3035.06763285024	2164.7729468599	207	0.03211	2.351	6446	1	Goblet	2
1073	3253.1875	1894.25	16	0.01948	4.541	821.5	0.9991	Stem + TA	2
1074	4235.39669421488	865.04958677686	121	0.01475	1.879	8205	0.9859	Enterocyte (Mid Villus)	4
1075	2244.65161290323	2943.34193548387	155	0.0189	3.731	8200	0.9862	Stromal	3
1076	4529.18181818182	747.409090909091	22	0.007801	4.509	2820	0.9997	Enterocyte (Mid Villus)	4
1077	4291.04651162791	912.46511627907	86	0.01738	1.993	4948	0.9992	Enterocyte (Mid Villus)	4
1078	4711.12121212121	447.515151515152	33	0.009824	1.448	3359	0.9992	Enterocyte (Mid Villus)	4
1079	3281.23966942149	1941.90909090909	121	0.02557	2.986	4732	1	Stem + TA	2
108	1592.49450549451	1592.47252747253	91	0.01971	1.942	4618	0.9773	Smooth Muscle	1
1080	1645.025	3570.825	40	0.01422	1.612	2812	0.8974	Smooth Muscle	1
1081	3894.3591160221	1368.08839779006	181	0.01935	1.177	9355	0.9925	B (Plasma)	4
1082	1232.94444444444	3924.77777777778	36	0.01713	4.192	2102	0.9702	Telocyte	3
1083	1264.89423076923	3919.61538461538	104	0.03111	1.588	3343	0.9958	Smooth Muscle	1
1084	3149.3	2115.75714285714	70	0.01883	4.768	3718	0.9999	Stem + TA	2
1085	1209.75	4028.6875	16	0.02116	1.956	756	0.9982	Stromal	1
1086	4983.76470588235	236.686274509804	102	0.01561	3.018	6536	0.9497	Enterocyte (Mid Villus)	4
1087	3989.90909090909	1236.09090909091	22	0.01121	1.249	1963	0.916	Macrophage + DC	3
1088	2874	2353.27215189873	158	0.02772	2.794	5700	0.9934	B (Plasma)	3
1089	3181.66666666667	2064.2183908046	87	0.01246	1.82	6980	0.9672	Stromal	2
109	1658.24137931034	1529.58620689655	29	0.01188	4.645	2442	0.8919	Stromal	1
1090	2433.54411764706	2806.88235294118	68	0.01285	2.645	5291	0.9517	Stromal	3
1091	3017.6974522293	2241.21974522293	314	0.03289	3.832	9548	1	Stem + TA	2
1092	2270.31958762887	2890.0824742268	97	0.01349	2.096	7193	0.9581	Stromal	3
1093	4764.27477477477	487.423423423423	222	0.02852	2.057	7784	0.9988	Enterocyte (Mid Villus)	4
1094	4169.09677419355	1052.32258064516	31	0.008342	4.698	3716	0.977	Stromal	4
1095	1246.68965517241	3970.93103448276	29	0.008411	2.291	3448	0.9335	Smooth Muscle	1
1096	4409.9125	819	80	0.01387	2.024	5768	0.9582	Enterocyte (Mid Villus)	4
1097	4387.84210526316	920.868421052632	38	0.01075	4.45	3534	0.9605	Enterocyte (Mid Villus)	4
1098	4198.54545454545	956.121212121212	33	0.01891	5.953	1745	0.9998	Enterocyte (Mid Villus)	3
1099	3341.86494252874	1896.84482758621	348	0.03853	1.677	9033	1	Stem + TA	2
11	2074.01587301587	285.611111111111	126	0.02323	1.869	5424	0.9842	Smooth Muscle	1
110	1553.16666666667	1648.85833333333	120	0.02257	2.595	5317	0.9347	Smooth Muscle	1
1100	3388.87378640777	1738.92718446602	206	0.01981	1.542	10400	0.9838	Stem + TA	2
1101	4654	593.14371257485	167	0.0167	1.582	10000	0.9972	Enterocyte (Mid Villus)	4
1102	1319.65714285714	3921.31428571429	35	0.01445	2.42	2422	0.9412	Smooth Muscle	1
1103	2371.25287356322	2803.18390804598	87	0.02241	1.411	3882	0.9849	T (CD4+)	3
1104	3739.32727272727	1536.36363636364	55	0.01183	1.775	4650	0.8087	B (Plasma)	2
1105	4823.81420765027	386.415300546448	183	0.0205	1.962	8926	0.9999	Enterocyte (Mid Villus)	4
1106	1450.96153846154	3819.67307692308	52	0.01503	2.016	3459	1	T (CD4+)	1
1107	3819.06422018349	1422.71559633028	109	0.0154	1.585	7076	0.8904	B (Plasma)	3
1108	3657.15178571429	1576.3125	112	0.01504	1.979	7445	0.9501	Stromal	2
1109	2409.72916666667	2881.10416666667	48	0.01319	1.725	3638	0.9102	Telocyte	3
111	1688.45070422535	1479.29577464789	71	0.01942	1.365	3656	0.9481	Smooth Muscle	1
1110	4262.7421875	1004.5859375	128	0.01696	2.031	7547	0.9772	Enterocyte (Mid Villus)	3
1111	4005.42528735632	1242.13793103448	87	0.01325	1.644	6568	0.9947	Macrophage + DC	3
1112	3155.65909090909	1994.22727272727	44	0.01622	3.132	2712	0.9412	Stromal	2
1113	4540.22277227723	673.871287128713	202	0.02332	2.044	8662	0.9962	Enterocyte (Mid Villus)	4
1114	3460.27922077922	1762.33116883117	154	0.01846	2.273	8342	0.9897	Stem + TA	2
1115	4717.67058823529	479.482352941176	85	0.02311	3.119	3678	1	Enterocyte (Mid Villus)	4
1116	2953.83582089552	2297.05970149254	67	0.016	2.294	4187	0.9758	Macrophage + DC	3
1117	1409.11111111111	3858.49206349206	63	0.01548	1.742	4070	0.9891	Smooth Muscle	1
1118	2932.48	2387.24	100	0.01448	1.767	6908	0.9887	Telocyte	3
112	2112.11	1142.31	100	0.01051	1.621	9518	0.9347	Smooth Muscle	1
1120	1423.71875	3840.46875	32	0.01453	2.16	2202	0.9997	Smooth Muscle	1
1121	4661.11111111111	571.666666666667	18	0.01879	3.142	958	0.9943	Enterocyte (Mid Villus)	4
1122	1610.89814814815	3637.23148148148	108	0.01483	1.387	7283	0.9732	Smooth Muscle	1
1123	2402.94444444444	2852.16666666667	18	0.01238	9.752	1454	0.9123	Telocyte	3
1124	3400.18333333333	1820.05	120	0.02066	1.348	5807	1	Stem + TA	2
1127	2324.352	2942.104	125	0.02799	1.563	4466	0.9999	Endothelial	3
1128	4769.67857142857	443.928571428571	28	0.01243	2.67	2253	0.9638	Enterocyte (Mid Villus)	4
1129	1168.88	4090.68	25	0.0147	4.267	1701	0.8017	Telocyte	1
1130	1496.60655737705	3745.32786885246	61	0.01843	1.167	3310	0.9883	ICC	1
1131	3599.32624113475	1702.10638297872	141	0.01553	4.26	9080	0.9885	Enterocyte (Bottom Villus)	2
1132	1228.42962962963	4075.36296296296	135	0.03262	1.18	4138	0.9985	Smooth Muscle	1
1133	1619.5	3712.69642857143	56	0.01118	1.427	5010	0.8435	Smooth Muscle	1
1134	1215.44680851064	3993.27659574468	47	0.0104	2.4	4520	0.9331	Telocyte	1
1135	1550.80882352941	3731.77941176471	68	0.02594	1.546	2621	1	ICC	1
1136	3967.88636363636	1329.93181818182	44	0.01214	1.584	3624	0.9964	B (Plasma)	4
1137	3661.40909090909	1488.40909090909	22	0.009778	1.742	2250	0.767	B (Plasma)	3
1138	1281.64102564103	4017.20512820513	39	0.01574	1.148	2478	0.9871	Smooth Muscle	1
1139	4033.63333333333	1282.88333333333	60	0.01851	4.917	3242	0.9818	B (Plasma)	3
114	1792.17708333333	1431.97916666667	96	0.03127	3.266	3070	0.9875	Smooth Muscle	1
1141	4106.22826086957	1191.35869565217	92	0.01089	1.395	8446	0.9084	B (Plasma)	3
1142	1516.91358024691	3767.17283950617	81	0.01486	1.238	5452	1	ICC	1
1143	1343.81395348837	3992.48837209302	43	0.02053	2.986	2095	0.9701	Smooth Muscle	1
1144	1474.06818181818	3813.79545454545	132	0.02849	1.272	4634	1	T (CD4+)	1
1146	4353.4303030303	846.442424242424	165	0.01974	2.473	8359	0.9994	Enterocyte (Mid Villus)	4
1147	2157.08333333333	3173.97222222222	36	0.02305	6.912	1562	0.9747	Macrophage + DC	3
1148	3453.27054794521	1908.50684931507	292	0.02255	1.358	12950	0.985	Stem + TA	2
1149	3092.96634615385	2187.89423076923	208	0.02603	3.865	7991	0.9958	Stem + TA	2
115	2975.4496124031	215.441860465116	129	0.01854	4.18	6958	0.9674	Stromal	3
1150	4565.92261904762	808.541666666667	168	0.0168	1.494	10000	0.9995	Goblet	4
1151	3536.9427480916	1797.04961832061	262	0.02604	1.793	10060	1	Goblet	2
1152	3139.24378109453	2197.50746268657	201	0.02772	3.118	7251	1	Stem + TA	2
1153	4249.87179487179	1038.87179487179	39	0.02249	2.153	1734	0.9859	Stromal	3
1154	3268.69230769231	1986.12820512821	78	0.01782	1.622	4378	0.9892	Stem + TA	2
1155	4364.95833333333	1027.625	24	0.02341	5.848	1025	1	Enterocyte (Mid Villus)	4
1156	2264.24175824176	3002.35714285714	182	0.02415	3.082	7537	0.9899	Endothelial	3
1157	4339.12359550562	964.365168539326	178	0.0212	1.082	8396	0.9953	Enterocyte (Mid Villus)	4
1158	4603.15492957746	711.901408450704	71	0.00853	1.616	8324	0.9935	Enterocyte (Mid Villus)	4
1159	4220.47368421053	1087.44736842105	38	0.01034	1.089	3674	0.9558	Endothelial	3
116	2584.15	746.45	20	0.0131	5.157	1527	0.8888	Telocyte	3
1160	3463.7397260274	1801.91095890411	146	0.01599	1.433	9130	0.9995	Stem + TA	2
1161	3185.96153846154	2193.96153846154	26	0.008838	2.111	2942	0.8516	Macrophage + DC	3
1163	1382.28125	3919.875	32	0.01408	1.373	2272	0.9866	Smooth Muscle	1
1164	1208.10843373494	4127.85542168675	83	0.02805	2.306	2959	0.9946	Smooth Muscle	1
1165	4720.26446280992	583.355371900826	121	0.02527	1.504	4789	0.9998	Enterocyte (Mid Villus)	4
1166	3721.43037974684	1607.92405063291	79	0.02127	1.888	3715	0.9753	B (Plasma)	2
1167	4278.05	991.15	20	0.01401	2.933	1428	0.9787	Enterocyte (Mid Villus)	3
1168	1401.71111111111	3953.62222222222	45	0.01629	1.811	2762	0.9973	Smooth Muscle	1
1169	3082.31578947368	2275.10526315789	19	0.0156	2.258	1218	0.9982	Stem + TA	2
117	1666.28333333333	1614.03333333333	60	0.01818	1.354	3301	0.9737	Smooth Muscle	1
1170	3509.80769230769	1858.16666666667	78	0.01701	1.34	4586	1	Stem + TA	2
1171	1523.83333333333	3803	18	0.012	7.389	1500	1	Endothelial	1
1173	4588.87068965517	716.327586206897	116	0.01459	3.364	7951	1	Enterocyte (Mid Villus)	4
1174	3287.70642201835	2062.22018348624	109	0.02093	1.682	5208	1	Macrophage + DC	2
1175	4830.52258064516	479.677419354839	310	0.02952	1.857	10500	1	Enterocyte (Mid Villus)	4
1176	1817.78881987578	3496.21118012422	161	0.01267	1.398	12710	0.9509	Smooth Muscle	1
1177	1568.42934782609	3809.63043478261	184	0.01506	1.686	12220	0.993	Smooth Muscle	1
1178	2684.5	2615.66666666667	18	0.0154	1.512	1169	0.9112	Endothelial	
1179	4666.95744680851	656.010638297872	94	0.01403	1.613	6701	0.9726	Enterocyte (Mid Villus)	4
118	3210.97101449275	34.6231884057971	69	0.01036	2.363	6662	0.9599	Paneth	2
1180	2366.66216216216	2958.43243243243	74	0.03926	9.856	1885	0.9999	Stromal	3
1181	1772.98245614035	3575.84210526316	114	0.0196	2.353	5816	0.9913	Smooth Muscle	1
1182	4293.42857142857	1040.19047619048	42	0.01955	3.458	2148	0.9992	Goblet	3
1183	3317.74324324324	2022.44594594595	74	0.01382	2.992	5354	0.9992	B (Plasma)	2
1184	4319.15384615385	1021.38461538462	39	0.02774	4.295	1406	1	Enterocyte (Bottom Villus)	4
1185	2044.25675675676	3272.35135135135	74	0.009812	1.768	7542	0.8513	Stromal	3
1186	3440.33834586466	1934.33834586466	133	0.01754	1.262	7584	0.9909	Stem + TA	2
1187	3506.5	1917.0625	32	0.0124	3.757	2580	0.9787	Enterocyte (Bottom Villus)	2
1188	4427.31481481481	855.814814814815	108	0.02464	2.159	4384	1	Enterocyte (Mid Villus)	4
1189	2892.13333333333	2493	15	0.02003	5.253	749	1	Macrophage + DC	2
1190	5208.52631578947	218.842105263158	19	0.02552	2.238	744.5	0.9855	T (CD8+)	4
1191	2318.69465648855	3053.75954198473	262	0.01988	2.548	13180	0.9619	Endothelial	
1192	4487.04255319149	821.702127659574	47	0.02078	4.039	2262	1	Enterocyte (Mid Villus)	4
1193	2015.04347826087	3325.30434782609	23	0.0158	1.886	1456	0.8366	Stromal	3
1194	4925.14838709677	407.490322580645	155	0.02113	2.347	7334	0.9999	Goblet	4
1195	4093.31746031746	1234.46031746032	63	0.01416	2.048	4448	0.9773	B (Plasma)	3
1196	3011.31578947368	2376.67251461988	171	0.01521	1.817	11240	0.9743	Stromal	2
1197	3587.50657894737	1750.875	152	0.01871	3.948	8124	0.9945	Enterocyte (Bottom Villus)	2
1198	4142.10447761194	1203.41791044776	67	0.02145	1.565	3124	0.992	Stromal	3
1199	2031.01851851852	3365.22222222222	54	0.0116	1.466	4656	0.8603	Stromal	3
12	1984.74311926606	413.394495412844	109	0.01939	2.313	5622	0.9736	Smooth Muscle	1
120	1640.48	1603.86	50	0.02029	2.167	2464	0.9829	Stromal	1
1200	3852.46341463415	1544.81300813008	123	0.01339	2.257	9188	0.9751	B (Plasma)	2
1201	4681.91025641026	692.807692307692	78	0.01481	1.814	5266	0.9849	Enterocyte (Mid Villus)	4
1202	1166.42	4170.48	50	0.0182	1.46	2748	0.9188	Smooth Muscle	1
1203	1524.46853146853	3892.87412587413	143	0.0181	2.667	7902	0.9935	Smooth Muscle	1
1205	3966.375	1424.66666666667	24	0.01055	3.847	2274	0.85	Endothelial	4
1206	3898.1511627907	1476.10465116279	86	0.01359	2.345	6328	0.9719	Endothelial	4
1207	3673.22273781903	1689.66125290023	431	0.02738	2.633	15740	1	Goblet	2
1208	3249.05208333333	2145.27083333333	96	0.01244	1.578	7719	0.9557	Stromal	3
121	1610.60975609756	1585.31707317073	41	0.01614	3.485	2540	0.9869	Stromal	1
1210	4843.84971098266	551.560693641619	173	0.024	1.653	7208	0.9978	Enterocyte (Mid Villus)	4
1211	1272.73333333333	4166.8	15	0.007143	3.338	2100	0.9998	Stromal	1
1212	4739.64651162791	635.027906976744	215	0.03181	1.256	6758	1	Enterocyte (Mid Villus)	4
1213	1298.65714285714	4075.72380952381	105	0.02997	1.21	3504	0.999	Stromal	1
1214	4488.39423076923	857.288461538462	104	0.02179	1.726	4773	1	Enterocyte (Mid Villus)	4
1215	3977.51219512195	1378.48780487805	41	0.01355	1.595	3026	0.998	B (Plasma)	4
1216	4513.20253164557	855.063291139241	79	0.03147	1.31	2510	1	Enterocyte (Mid Villus)	4
1217	2802.203125	2523.78125	64	0.01046	3.032	6120	0.9321	T (CD4+)	2
1218	1353.23255813953	4059.39534883721	43	0.0185	2.065	2324	0.9983	Smooth Muscle	1
1219	1344.41860465116	4053.83720930233	43	0.0154	2.644	2793	0.9791	Smooth Muscle	1
122	2554.95454545455	674.227272727273	22	0.01235	14.04	1782	0.8441	ICC	
1220	4457.01587301587	957.634920634921	63	0.02263	3.945	2784	0.9781	Enterocyte (Mid Villus)	4
1221	1457.67336683417	3917.29145728643	199	0.0286	1.266	6958	0.9999	ICC	1
1222	4918.24691358025	473.872427983539	243	0.02632	1.549	9233	0.9845	Enterocyte (Mid Villus)	4
1223	1818.95918367347	3654.29591836735	98	0.01038	9.8	9438	0.9068	Smooth Muscle	1
1224	4431.86666666667	1036.4	15	0.009868	5.441	1520	0.9806	Enterocyte (Mid Villus)	4
1225	2671.54385964912	2789.17543859649	57	0.01162	1.554	4904	0.989	Macrophage + DC	3
1226	2917.96744186046	2576.73488372093	215	0.02061	1.508	10430	1	Stem + TA	2
1227	3401.18333333333	2030.08333333333	60	0.01144	1.161	5246	0.9785	B (Plasma)	2
1228	4416.41984732824	964.557251908397	131	0.01751	1.338	7481	0.9694	Enterocyte (Mid Villus)	4
1229	2853.80487804878	2484.53658536585	164	0.01828	2.122	8972	0.9754	Stem + TA	2
123	3104.18939393939	167.613636363636	132	0.01486	1.917	8884	0.9802	Macrophage + DC	2
1230	4401.65	1015.1	80	0.02089	2.998	3830	0.9999	Enterocyte (Mid Villus)	4
1231	2743.63414634146	2676.48780487805	41	0.01516	1.658	2704	0.9326	Macrophage + DC	3
1232	1745.4512195122	3658.5	82	0.01883	1.518	4354	0.9457	Smooth Muscle	1
1233	3747.28260869565	1637.80434782609	46	0.01271	2.075	3620	0.9586	Enterocyte (Bottom Villus)	2
1234	4480.5	912.691176470588	68	0.02502	1.502	2718	0.9996	Enterocyte (Mid Villus)	4
1235	1196.06666666667	4213.08888888889	45	0.01506	2.063	2988	0.9722	Smooth Muscle	1
1236	1293.824	4135.504	125	0.02824	1.929	4426	0.9899	Smooth Muscle	1
1237	4482.55813953488	990.441860465116	86	0.02045	1.916	4205	1	Enterocyte (Mid Villus)	4
1238	4337.87301587302	1084.53968253968	63	0.01183	4.171	5326	0.9124	Endothelial	4
1239	4047.078125	1345.234375	64	0.009944	2.487	6436	0.9996	B (Plasma)	3
124	2313	988.382352941176	34	0.01655	6.61	2055	0.9497	ICC	1
1240	4177.43406593407	1305.31868131868	182	0.02697	1.538	6748	0.994	B (Plasma)	3
1242	4224.54347826087	1206.29347826087	184	0.0209	1.561	8804	0.954	B (Plasma)	3
1243	3764.28695652174	1682.21739130435	115	0.01555	2.115	7396	0.9992	Stem + TA	2
1244	4787.91666666667	640.833333333333	12	0.01609	2.636	746	1	Enterocyte (Mid Villus)	4
1245	4016.7619047619	1451.66666666667	21	0.0162	6.394	1296	0.8585	B (Plasma)	3
1246	4028	1367.78125	64	0.01174	2.05	5452	0.9365	Endothelial	3
1247	4637.55399061033	867.713615023474	213	0.02092	3.759	10180	1	Enterocyte (Mid Villus)	4
1248	4311.1320754717	1202.7641509434	106	0.01844	1.176	5748	0.9606	B (Plasma)	3
1249	3490.03571428571	1855.06428571429	140	0.02261	1.659	6193	1	Stem + TA	2
125	2765.64705882353	499.050420168067	119	0.01714	3.521	6942	0.964	Telocyte	
1250	4378.71900826446	1143.88429752066	121	0.01277	1.559	9474	0.9372	B (Plasma)	3
1251	1932.10204081633	3492.28571428571	49	0.01113	12.07	4403	0.7807	Smooth Muscle	1
1252	1225.04347826087	4255.04347826087	23	0.02282	1.691	1008	1	Stromal	1
1253	3376.66666666667	2076.42857142857	21	0.0106	2.49	1981	0.9993	B (Plasma)	3
1254	1422	4011.65714285714	35	0.008578	1.866	4080	0.7864	Smooth Muscle	1
1255	3076.375	2354.375	24	0.02013	1.859	1192	0.9515	Stromal	2
1256	5218.08771929825	271.526315789474	57	0.01075	1.615	5300	0.9138	T (CD4+)	4
1257	5147.15	351.15	20	0.01041	2.276	1922	0.7517	T (CD4+)	4
1258	3331.72727272727	2176.60606060606	33	0.007429	2.408	4442	0.8874	Stromal	3
1259	1184.24157303371	4298.03370786517	178	0.0278	1.99	6404	0.9906	Smooth Muscle	1
126	1541.68292682927	1725.42682926829	82	0.02097	2.258	3910	0.973	Smooth Muscle	1
1260	4120.21917808219	1356.08219178082	73	0.01423	3.245	5131	0.9877	Endothelial	
1261	3180.95588235294	2275.92647058824	68	0.008788	1.706	7738	0.7963	Endothelial	3
1262	5301.17073170732	161.317073170732	41	0.01626	1.777	2522	0.933	Enterocyte (Mid Villus)	4
1263	2937.8375	2472.75	480	0.03709	1.968	12940	1	Stem + TA	2
1264	4782.57142857143	646.918367346939	98	0.01779	1.195	5508	0.9853	Enterocyte (Mid Villus)	4
1265	5301.65217391304	127.521739130435	23	0.0205	7.025	1122	0.9772	Enterocyte (Mid Villus)	4
1266	2918.51838235294	2622.84191176471	272	0.01895	9.081	14350	0.9986	Goblet	2
1267	3521.08333333333	1866.5	12	0.01664	3.314	721	0.9998	Stem + TA	2
1268	3049.02990033223	2483.85714285714	301	0.02508	5.017	12000	0.9995	Stem + TA	2
1269	2022.56666666667	3425.68333333333	60	0.01622	2.142	3700	0.9633	Macrophage + DC	3
127	1900.6338028169	1411.33098591549	142	0.01579	1.391	8992	0.9491	Smooth Muscle	1
1270	1268.44186046512	4210.99224806202	129	0.0198	1.691	6514	0.9899	Smooth Muscle	1
1271	4649.8224852071	762.349112426036	169	0.01936	4.217	8728	1	Enterocyte (Mid Villus)	4
1272	2308.64	3185.28	75	0.02224	1.398	3372	0.898	Telocyte	
1273	1826.875	3802.83333333333	72	0.01004	7.344	7168	0.8271	Smooth Muscle	
1274	2738.32608695652	2723.76086956522	46	0.01559	1.186	2950	0.9907	T (CD4+)	3
1275	1348.04166666667	4117.04166666667	48	0.02124	1.325	2260	0.996	Smooth Muscle	1
1276	3126.19047619048	2395.06349206349	63	0.01279	1.474	4924	0.958	Stromal	2
1277	3414.01785714286	2107.55357142857	56	0.008673	3.145	6457	0.9466	Stromal	3
1278	5180	374	20	0.01383	2.012	1446	0.8961	T (CD8+)	4
